time, device, OryConc, CPUTemp, SensorTemp, 
07:28:57, position 1, 427003, 0.0, , 
07:29:02, position 1, 50443, 0.0, , 
07:29:07, position 1, -224445, 0.0, , 
07:29:12, position 1, 7122, 0.0, , 
07:29:17, position 1, -186128, 0.0, , 
07:29:22, position 1, -12732, 0.0, , 
07:29:27, position 1, 90620, 0.0, , 
07:29:32, position 1, 280500, 0.0, , 
07:29:37, position 1, 396944, 0.0, , 
07:29:42, position 1, 13966, 0.0, , 
07:29:47, position 1, 26799, 0.0, , 
07:29:52, position 1, -18844, 0.0, , 
07:29:57, position 1, 238705, 0.0, , 
07:30:02, position 1, 640208, 0.0, , 
07:30:07, position 1, -183809, 0.0, , 
07:30:12, position 1, -113011, 0.0, , 
07:30:17, position 1, -209838, 0.0, , 
07:30:22, position 1, -98568, 0.0, , 
07:30:27, position 1, 48911, 0.0, , 
07:30:32, position 1, 171667, 0.0, , 
07:30:37, position 1, 335060, 0.0, , 
07:30:42, position 1, 413389, 0.0, , 
07:30:47, position 1, -23347, 0.0, , 
07:30:52, position 1, -2027, 0.0, , 
07:30:57, position 1, -159993, 0.0, , 
07:31:02, position 1, 427003, 0.0, , 
07:31:07, position 1, 50443, 0.0, , 
07:31:12, position 1, -224445, 0.0, , 
07:31:17, position 1, 7122, 0.0, , 
07:31:22, position 1, -186128, 0.0, , 
07:31:27, position 1, -12732, 0.0, , 
07:31:32, position 1, 90620, 0.0, , 
07:31:37, position 1, 280500, 0.0, , 
07:31:42, position 1, 396944, 0.0, , 
07:31:47, position 1, 13966, 0.0, , 
07:31:52, position 1, 26799, 0.0, , 
07:31:57, position 1, -18844, 0.0, , 
07:32:02, position 1, 238705, 0.0, , 
07:32:07, position 1, 640208, 0.0, , 
07:32:12, position 1, -183809, 0.0, , 
07:32:17, position 1, -113011, 0.0, , 
07:32:22, position 1, -209838, 0.0, , 
07:32:27, position 1, -98568, 0.0, , 
07:32:32, position 1, 48911, 0.0, , 
07:32:37, position 1, 171667, 0.0, , 
07:32:42, position 1, 335060, 0.0, , 
07:32:47, position 1, 413389, 0.0, , 
07:32:52, position 1, -23347, 0.0, , 
07:32:57, position 1, -2027, 0.0, , 
07:33:02, position 1, -159993, 0.0, , 
07:33:07, position 1, 427003, 0.0, , 
07:33:12, position 1, 50443, 0.0, , 
07:33:17, position 1, -224445, 0.0, , 
07:33:22, position 1, 7122, 0.0, , 
07:33:27, position 1, -186128, 0.0, , 
07:33:32, position 1, -12732, 0.0, , 
07:33:37, position 1, 90620, 0.0, , 
07:33:42, position 1, 280500, 0.0, , 
07:33:47, position 1, 396944, 0.0, , 
07:33:52, position 1, 13966, 0.0, , 
07:33:57, position 1, 26799, 0.0, , 
07:34:02, position 1, -18844, 0.0, , 
07:34:07, position 1, 238705, 0.0, , 
07:34:12, position 1, 640208, 0.0, , 
07:34:17, position 1, -183809, 0.0, , 
07:34:22, position 1, -113011, 0.0, , 
07:34:27, position 1, -209838, 0.0, , 
07:34:32, position 1, -98568, 0.0, , 
07:34:37, position 1, 48911, 0.0, , 
07:34:42, position 1, 171667, 0.0, , 
07:34:47, position 1, 335060, 0.0, , 
07:34:52, position 1, 413389, 0.0, , 
07:34:57, position 1, -23347, 0.0, , 
07:35:02, position 1, -2027, 0.0, , 
07:35:07, position 1, -159993, 0.0, , 
07:35:12, position 1, 427003, 0.0, , 
07:35:17, position 1, 50443, 0.0, , 
07:35:22, position 1, -224445, 0.0, , 
07:35:27, position 1, 7122, 0.0, , 
07:35:32, position 1, -186128, 0.0, , 
07:35:37, position 1, -12732, 0.0, , 
07:35:42, position 1, 90620, 0.0, , 
07:35:47, position 1, 280500, 0.0, , 
07:35:52, position 1, 396944, 0.0, , 
07:35:57, position 1, 13966, 0.0, , 
07:36:02, position 1, 26799, 0.0, , 
07:36:07, position 1, -18844, 0.0, , 
07:36:12, position 1, 238705, 0.0, , 
07:36:17, position 1, 640208, 0.0, , 
07:36:22, position 1, -183809, 0.0, , 
07:36:27, position 1, -113011, 0.0, , 
07:36:32, position 1, -209838, 0.0, , 
07:36:37, position 1, -98568, 0.0, , 
07:36:42, position 1, 48911, 0.0, , 
07:36:47, position 1, 171667, 0.0, , 
07:36:52, position 1, 335060, 0.0, , 
07:36:57, position 1, 413389, 0.0, , 
07:37:02, position 1, -23347, 0.0, , 
07:37:07, position 1, -2027, 0.0, , 
07:37:12, position 1, -159993, 0.0, , 
07:37:17, position 1, 427003, 0.0, , 
07:37:22, position 1, 50443, 0.0, , 
07:37:27, position 1, -224445, 0.0, , 
07:37:32, position 1, 7122, 0.0, , 
07:37:37, position 1, -186128, 0.0, , 
07:37:42, position 1, -12732, 0.0, , 
07:37:47, position 1, 90620, 0.0, , 
07:37:52, position 1, 280500, 0.0, , 
07:37:57, position 1, 396944, 0.0, , 
07:38:02, position 1, 13966, 0.0, , 
07:38:07, position 1, 26799, 0.0, , 
07:38:12, position 1, -18844, 0.0, , 
07:38:17, position 1, 238705, 0.0, , 
07:38:22, position 1, 640208, 0.0, , 
07:38:27, position 1, -183809, 0.0, , 
07:38:32, position 1, -113011, 0.0, , 
07:38:37, position 1, -209838, 0.0, , 
07:38:42, position 1, -98568, 0.0, , 
07:38:47, position 1, 48911, 0.0, , 
07:38:52, position 1, 171667, 0.0, , 
07:38:57, position 1, 335060, 0.0, , 
07:39:02, position 1, 413389, 0.0, , 
07:39:07, position 1, -23347, 0.0, , 
07:39:12, position 1, -2027, 0.0, , 
07:39:17, position 1, -159993, 0.0, , 
07:39:22, position 1, 427003, 0.0, , 
07:39:27, position 1, 50443, 0.0, , 
07:39:32, position 1, -224445, 0.0, , 
07:39:37, position 1, 7122, 0.0, , 
07:39:42, position 1, -186128, 0.0, , 
07:39:47, position 1, -12732, 0.0, , 
07:39:52, position 1, 90620, 0.0, , 
07:39:57, position 1, 280500, 0.0, , 
07:40:02, position 1, 396944, 0.0, , 
07:40:07, position 1, 13966, 0.0, , 
07:40:12, position 1, 26799, 0.0, , 
07:40:17, position 1, -18844, 0.0, , 
07:40:22, position 1, 238705, 0.0, , 
07:40:27, position 1, 640208, 0.0, , 
07:40:32, position 1, -183809, 0.0, , 
07:40:37, position 1, -113011, 0.0, , 
07:40:42, position 1, -209838, 0.0, , 
07:40:47, position 1, -98568, 0.0, , 
07:40:52, position 1, 48911, 0.0, , 
07:40:57, position 1, 171667, 0.0, , 
07:41:02, position 1, 335060, 0.0, , 
07:41:07, position 1, 413389, 0.0, , 
07:41:12, position 1, -23347, 0.0, , 
07:41:17, position 1, -2027, 0.0, , 
07:41:22, position 1, -159993, 0.0, , 
07:41:27, position 1, 427003, 0.0, , 
07:41:32, position 1, 50443, 0.0, , 
07:41:37, position 1, -224445, 0.0, , 
07:41:42, position 1, 7122, 0.0, , 
07:41:47, position 1, -186128, 0.0, , 
07:41:52, position 1, -12732, 0.0, , 
07:41:57, position 1, 90620, 0.0, , 
07:42:02, position 1, 280500, 0.0, , 
07:42:07, position 1, 396944, 0.0, , 
07:42:12, position 1, 13966, 0.0, , 
08:19:57, position 1, 238705, 0.0, , 
08:20:02, position 1, 640208, 0.0, , 
08:20:07, position 1, -183809, 0.0, , 
08:20:12, position 1, -113011, 0.0, , 
08:20:17, position 1, -209838, 0.0, , 
08:20:22, position 1, -98568, 0.0, , 
08:20:27, position 1, 48911, 0.0, , 
08:20:32, position 1, 171667, 0.0, , 
08:20:37, position 1, 335060, 0.0, , 
08:20:42, position 1, 413389, 0.0, , 
08:20:47, position 1, -23347, 0.0, , 
08:20:52, position 1, -2027, 0.0, , 
08:20:57, position 1, -159993, 0.0, , 
08:21:02, position 1, 427003, 0.0, , 
09:03:02, position 1, -186128, 0.0, , 
09:03:07, position 1, -12732, 0.0, , 
09:03:12, position 1, 90620, 0.0, , 
09:08:27, position 1, 171667, 0.0, , 
09:08:32, position 1, 335060, 0.0, , 
09:08:37, position 1, 413389, 0.0, , 
09:08:42, position 1, -23347, 0.0, , 
09:08:47, position 1, -2027, 0.0, , 
09:08:52, position 1, -159993, 0.0, , 
09:08:57, position 1, 427003, 0.0, , 
09:09:02, position 1, 50443, 0.0, , 
09:09:07, position 1, -224445, 0.0, , 
09:09:12, position 1, 7122, 0.0, , 
09:09:17, position 1, -186128, 0.0, , 
09:09:22, position 1, -12732, 0.0, , 
09:09:27, position 1, 90620, 0.0, , 
09:09:32, position 1, 280500, 0.0, , 
09:09:37, position 1, 396944, 0.0, , 
09:09:42, position 1, 13966, 0.0, , 
09:09:47, position 1, 26799, 0.0, , 
09:09:52, position 1, -18844, 0.0, , 
09:09:57, position 1, 238705, 0.0, , 
09:10:02, position 1, 640208, 0.0, , 
09:10:07, position 1, -183809, 0.0, , 
09:10:12, position 1, -113011, 0.0, , 
09:10:17, position 1, -209838, 0.0, , 
09:10:22, position 1, -98568, 0.0, , 
09:10:27, position 1, 48911, 0.0, , 
09:10:32, position 1, 171667, 0.0, , 
09:10:37, position 1, 335060, 0.0, , 
09:10:42, position 1, 413389, 0.0, , 
09:10:47, position 1, -23347, 0.0, , 
09:10:52, position 1, -2027, 0.0, , 
09:10:57, position 1, -159993, 0.0, , 
09:11:02, position 1, 427003, 0.0, , 
09:11:07, position 1, 50443, 0.0, , 
09:11:12, position 1, -224445, 0.0, , 
09:11:17, position 1, 7122, 0.0, , 
09:11:22, position 1, -186128, 0.0, , 
09:11:27, position 1, -12732, 0.0, , 
09:11:32, position 1, 90620, 0.0, , 
09:11:37, position 1, 280500, 0.0, , 
09:11:42, position 1, 396944, 0.0, , 
09:11:47, position 1, 13966, 0.0, , 
09:11:52, position 1, 26799, 0.0, , 
09:11:57, position 1, -18844, 0.0, , 
09:12:02, position 1, 238705, 0.0, , 
09:12:07, position 1, 640208, 0.0, , 
09:12:12, position 1, -183809, 0.0, , 
09:12:17, position 1, -113011, 0.0, , 
09:12:22, position 1, -209838, 0.0, , 
09:12:27, position 1, -98568, 0.0, , 
09:12:32, position 1, 48911, 0.0, , 
09:12:37, position 1, 171667, 0.0, , 
09:12:42, position 1, 335060, 0.0, , 
09:12:47, position 1, 413389, 0.0, , 
09:12:52, position 1, -23347, 0.0, , 
09:12:57, position 1, -2027, 0.0, , 
09:13:02, position 1, -159993, 0.0, , 
09:13:07, position 1, 427003, 0.0, , 
09:13:12, position 1, 50443, 0.0, , 
09:13:17, position 1, -224445, 0.0, , 
09:13:27, position 1, -186128, 0.0, , 
09:13:32, position 1, -12732, 0.0, , 
09:13:37, position 1, 90620, 0.0, , 
09:13:42, position 1, 280500, 0.0, , 
09:13:47, position 1, 396944, 0.0, , 
09:13:52, position 1, 13966, 0.0, , 
09:13:57, position 1, 26799, 0.0, , 
09:14:02, position 1, -18844, 0.0, , 
09:14:07, position 1, 238705, 0.0, , 
09:14:12, position 1, 640208, 0.0, , 
09:14:17, position 1, -183809, 0.0, , 
09:14:22, position 1, -113011, 0.0, , 
09:14:27, position 1, -209838, 0.0, , 
09:14:32, position 1, -98568, 0.0, , 
09:14:37, position 1, 48911, 0.0, , 
09:14:42, position 1, 171667, 0.0, , 
09:14:47, position 1, 335060, 0.0, , 
09:14:52, position 1, 413389, 0.0, , 
09:14:57, position 1, -23347, 0.0, , 
09:15:02, position 1, -2027, 0.0, , 
09:15:07, position 1, -159993, 0.0, , 
09:15:12, position 1, 427003, 0.0, , 
09:15:17, position 1, 50443, 0.0, , 
09:15:22, position 1, -224445, 0.0, , 
09:15:27, position 1, 7122, 0.0, , 
09:15:32, position 1, -186128, 0.0, , 
09:15:37, position 1, -12732, 0.0, , 
09:15:42, position 1, 90620, 0.0, , 
09:15:47, position 1, 280500, 0.0, , 
09:15:52, position 1, 396944, 0.0, , 
09:15:57, position 1, 13966, 0.0, , 
09:16:02, position 1, 26799, 0.0, , 
09:16:07, position 1, -18844, 0.0, , 
09:16:12, position 1, 238705, 0.0, , 
09:17:52, position 1, 280500, 0.0, , 
09:17:57, position 1, 396944, 0.0, , 
09:18:02, position 1, 13966, 0.0, , 
09:18:07, position 1, 26799, 0.0, , 
09:18:12, position 1, -18844, 0.0, , 
09:18:17, position 1, 238705, 0.0, , 
09:18:22, position 1, 640208, 0.0, , 
09:18:27, position 1, -183809, 0.0, , 
09:18:32, position 1, -113011, 0.0, , 
09:18:42, position 1, -98568, 0.0, , 
09:18:47, position 1, 48911, 0.0, , 
09:18:52, position 1, 171667, 0.0, , 
09:18:57, position 1, 335060, 0.0, , 
09:19:02, position 1, 413389, 0.0, , 
09:19:07, position 1, -23347, 0.0, , 
09:19:12, position 1, -2027, 0.0, , 
09:19:17, position 1, -159993, 0.0, , 
09:19:22, position 1, 427003, 0.0, , 
09:19:27, position 1, 50443, 0.0, , 
09:19:32, position 1, -224445, 0.0, , 
09:19:37, position 1, 7122, 0.0, , 
09:19:42, position 1, -186128, 0.0, , 
09:24:07, position 1, 280500, 0.0, , 
09:24:12, position 1, 396944, 0.0, , 
09:24:17, position 1, 13966, 0.0, , 
09:24:22, position 1, 26799, 0.0, , 
09:24:27, position 1, -18844, 0.0, , 
09:24:32, position 1, 238705, 0.0, , 
09:24:37, position 1, 640208, 0.0, , 
09:24:42, position 1, -183809, 0.0, , 
09:24:47, position 1, -113011, 0.0, , 
09:24:52, position 1, -209838, 0.0, , 
09:24:57, position 1, -98568, 0.0, , 
09:25:02, position 1, 48911, 0.0, , 
09:25:07, position 1, 171667, 0.0, , 
09:25:12, position 1, 335060, 0.0, , 
09:25:17, position 1, 413389, 0.0, , 
09:25:22, position 1, -23347, 0.0, , 
09:25:27, position 1, -2027, 0.0, , 
09:25:32, position 1, -159993, 0.0, , 
09:25:37, position 1, 427003, 0.0, , 
09:25:42, position 1, 50443, 0.0, , 
09:25:47, position 1, -224445, 0.0, , 
09:25:52, position 1, 7122, 0.0, , 
09:25:57, position 1, -186128, 0.0, , 
09:26:02, position 1, -12732, 0.0, , 
09:26:07, position 1, 90620, 0.0, , 
09:26:12, position 1, 280500, 0.0, , 
09:26:17, position 1, 396944, 0.0, , 
09:26:22, position 1, 13966, 0.0, , 
09:26:27, position 1, 26799, 0.0, , 
09:26:32, position 1, -18844, 0.0, , 
09:26:37, position 1, 238705, 0.0, , 
09:26:42, position 1, 640208, 0.0, , 
09:26:47, position 1, -183809, 0.0, , 
09:26:52, position 1, -113011, 0.0, , 
09:26:57, position 1, -209838, 0.0, , 
09:27:02, position 1, -98568, 0.0, , 
09:27:07, position 1, 48911, 0.0, , 
09:27:12, position 1, 171667, 0.0, , 
09:27:17, position 1, 335060, 0.0, , 
09:27:22, position 1, 413389, 0.0, , 
09:27:27, position 1, -23347, 0.0, , 
09:27:32, position 1, -2027, 0.0, , 
09:27:37, position 1, -159993, 0.0, , 
09:27:42, position 1, 427003, 0.0, , 
09:27:47, position 1, 50443, 0.0, , 
09:27:52, position 1, -224445, 0.0, , 
09:27:57, position 1, 7122, 0.0, , 
09:28:02, position 1, -186128, 0.0, , 
09:28:07, position 1, -12732, 0.0, , 
09:28:12, position 1, 90620, 0.0, , 
09:28:17, position 1, 280500, 0.0, , 
09:28:22, position 1, 396944, 0.0, , 
09:28:27, position 1, 13966, 0.0, , 
09:28:32, position 1, 26799, 0.0, , 
09:28:37, position 1, -18844, 0.0, , 
09:28:42, position 1, 238705, 0.0, , 
09:28:47, position 1, 640208, 0.0, , 
09:28:52, position 1, -183809, 0.0, , 
09:28:57, position 1, -113011, 0.0, , 
09:29:02, position 1, -209838, 0.0, , 
09:29:07, position 1, -98568, 0.0, , 
09:29:12, position 1, 48911, 0.0, , 
09:29:17, position 1, 171667, 0.0, , 
09:29:22, position 1, 335060, 0.0, , 
09:29:27, position 1, 413389, 0.0, , 
09:29:32, position 1, -23347, 0.0, , 
09:29:37, position 1, -2027, 0.0, , 
09:29:42, position 1, -159993, 0.0, , 
09:29:47, position 1, 427003, 0.0, , 
09:29:52, position 1, 50443, 0.0, , 
09:29:57, position 1, -224445, 0.0, , 
09:30:02, position 1, 7122, 0.0, , 
09:30:07, position 1, -186128, 0.0, , 
09:30:12, position 1, -12732, 0.0, , 
09:30:17, position 1, 90620, 0.0, , 
09:30:22, position 1, 280500, 0.0, , 
09:30:27, position 1, 396944, 0.0, , 
09:30:32, position 1, 13966, 0.0, , 
09:30:37, position 1, 26799, 0.0, , 
09:30:42, position 1, -18844, 0.0, , 
09:30:47, position 1, 238705, 0.0, , 
09:30:52, position 1, 640208, 0.0, , 
09:30:57, position 1, -183809, 0.0, , 
09:31:02, position 1, -113011, 0.0, , 
09:31:07, position 1, -209838, 0.0, , 
09:31:12, position 1, -98568, 0.0, , 
09:31:17, position 1, 48911, 0.0, , 
09:31:22, position 1, 171667, 0.0, , 
09:31:27, position 1, 335060, 0.0, , 
09:31:32, position 1, 413389, 0.0, , 
09:31:37, position 1, -23347, 0.0, , 
09:31:42, position 1, -2027, 0.0, , 
09:31:47, position 1, -159993, 0.0, , 
09:31:52, position 1, 427003, 0.0, , 
09:31:57, position 1, 50443, 0.0, , 
09:32:02, position 1, -224445, 0.0, , 
09:32:07, position 1, 7122, 0.0, , 
09:32:12, position 1, -186128, 0.0, , 
09:32:17, position 1, -12732, 0.0, , 
09:32:22, position 1, 90620, 0.0, , 
09:32:27, position 1, 280500, 0.0, , 
09:32:32, position 1, 396944, 0.0, , 
09:32:37, position 1, 13966, 0.0, , 
09:32:42, position 1, 26799, 0.0, , 
09:32:47, position 1, -18844, 0.0, , 
09:32:52, position 1, 238705, 0.0, , 
09:32:57, position 1, 640208, 0.0, , 
09:33:02, position 1, -183809, 0.0, , 
09:33:07, position 1, -113011, 0.0, , 
09:33:12, position 1, -209838, 0.0, , 
09:33:17, position 1, -98568, 0.0, , 
09:33:22, position 1, 48911, 0.0, , 
09:33:27, position 1, 171667, 0.0, , 
09:33:32, position 1, 335060, 0.0, , 
09:33:37, position 1, 413389, 0.0, , 
09:33:42, position 1, -23347, 0.0, , 
09:33:47, position 1, -2027, 0.0, , 
09:33:52, position 1, -159993, 0.0, , 
09:33:57, position 1, 427003, 0.0, , 
09:34:02, position 1, 50443, 0.0, , 
09:34:07, position 1, -224445, 0.0, , 
09:34:12, position 1, 7122, 0.0, , 
09:34:17, position 1, -186128, 0.0, , 
09:34:22, position 1, -12732, 0.0, , 
09:34:27, position 1, 90620, 0.0, , 
09:34:32, position 1, 280500, 0.0, , 
09:34:37, position 1, 396944, 0.0, , 
09:34:42, position 1, 13966, 0.0, , 
09:34:47, position 1, 26799, 0.0, , 
09:34:52, position 1, -18844, 0.0, , 
09:34:57, position 1, 238705, 0.0, , 
09:35:02, position 1, 640208, 0.0, , 
09:35:07, position 1, -183809, 0.0, , 
09:35:12, position 1, -113011, 0.0, , 
09:35:17, position 1, -209838, 0.0, , 
09:35:22, position 1, -98568, 0.0, , 
