time, device, OryConc, CPUTemp, SensorTemp, 
06:49:02, position 1, -18844, 0.0, , 
06:49:07, position 1, 238705, 0.0, , 
06:49:12, position 1, 640208, 0.0, , 
06:49:17, position 1, 13966, 0.0, , 
06:49:22, position 1, 26799, 0.0, , 
06:49:27, position 1, -18844, 0.0, , 
06:49:32, position 1, 238705, 0.0, , 
06:49:37, position 1, 640208, 0.0, , 
06:49:42, position 1, 13966, 0.0, , 
06:49:47, position 1, 26799, 0.0, , 
06:49:52, position 1, -18844, 0.0, , 
06:49:57, position 1, 238705, 0.0, , 
06:50:02, position 1, 640208, 0.0, , 
06:50:07, position 1, 13966, 0.0, , 
06:50:12, position 1, 26799, 0.0, , 
06:50:17, position 1, -18844, 0.0, , 
06:50:22, position 1, 238705, 0.0, , 
06:50:27, position 1, 640208, 0.0, , 
06:50:32, position 1, 13966, 0.0, , 
06:50:37, position 1, 26799, 0.0, , 
06:50:42, position 1, -18844, 0.0, , 
06:50:47, position 1, 238705, 0.0, , 
06:50:52, position 1, 640208, 0.0, , 
06:50:57, position 1, 13966, 0.0, , 
06:51:02, position 1, 26799, 0.0, , 
06:51:07, position 1, -18844, 0.0, , 
06:51:12, position 1, 238705, 0.0, , 
06:51:17, position 1, 640208, 0.0, , 
06:51:22, position 1, 13966, 0.0, , 
06:51:27, position 1, 26799, 0.0, , 
06:51:32, position 1, -18844, 0.0, , 
06:51:37, position 1, 238705, 0.0, , 
06:51:42, position 1, 640208, 0.0, , 
06:51:47, position 1, 13966, 0.0, , 
06:51:52, position 1, 26799, 0.0, , 
06:51:57, position 1, -18844, 0.0, , 
06:52:02, position 1, 238705, 0.0, , 
06:52:07, position 1, 640208, 0.0, , 
06:52:12, position 1, 13966, 0.0, , 
06:52:17, position 1, 26799, 0.0, , 
06:52:22, position 1, -18844, 0.0, , 
06:52:27, position 1, 238705, 0.0, , 
06:52:32, position 1, 640208, 0.0, , 
06:52:37, position 1, 13966, 0.0, , 
06:52:42, position 1, 26799, 0.0, , 
06:52:47, position 1, -18844, 0.0, , 
06:52:52, position 1, 238705, 0.0, , 
06:52:57, position 1, 640208, 0.0, , 
06:53:02, position 1, 13966, 0.0, , 
06:53:07, position 1, 26799, 0.0, , 
06:53:12, position 1, -18844, 0.0, , 
06:53:17, position 1, 238705, 0.0, , 
06:53:22, position 1, 640208, 0.0, , 
06:53:27, position 1, 13966, 0.0, , 
06:53:32, position 1, 26799, 0.0, , 
06:53:37, position 1, -18844, 0.0, , 
06:53:42, position 1, 238705, 0.0, , 
06:53:47, position 1, 640208, 0.0, , 
06:53:52, position 1, 13966, 0.0, , 
06:53:57, position 1, 26799, 0.0, , 
06:54:02, position 1, -18844, 0.0, , 
06:54:07, position 1, 238705, 0.0, , 
06:54:12, position 1, 640208, 0.0, , 
06:54:17, position 1, 13966, 0.0, , 
06:54:22, position 1, 26799, 0.0, , 
06:54:27, position 1, -18844, 0.0, , 
06:54:32, position 1, 238705, 0.0, , 
06:54:37, position 1, 640208, 0.0, , 
06:54:42, position 1, 13966, 0.0, , 
06:54:47, position 1, 26799, 0.0, , 
06:54:52, position 1, -18844, 0.0, , 
06:54:57, position 1, 238705, 0.0, , 
06:55:02, position 1, 640208, 0.0, , 
06:55:07, position 1, 13966, 0.0, , 
06:55:12, position 1, 26799, 0.0, , 
06:55:17, position 1, -18844, 0.0, , 
06:55:22, position 1, 238705, 0.0, , 
06:55:27, position 1, 640208, 0.0, , 
06:55:32, position 1, 13966, 0.0, , 
06:55:37, position 1, 26799, 0.0, , 
06:55:42, position 1, -18844, 0.0, , 
06:55:47, position 1, 238705, 0.0, , 
06:55:52, position 1, 640208, 0.0, , 
06:55:57, position 1, 13966, 0.0, , 
06:56:02, position 1, 26799, 0.0, , 
06:56:07, position 1, -18844, 0.0, , 
06:56:12, position 1, 238705, 0.0, , 
06:56:17, position 1, 640208, 0.0, , 
06:56:22, position 1, 13966, 0.0, , 
06:56:27, position 1, 26799, 0.0, , 
06:56:32, position 1, -18844, 0.0, , 
06:56:37, position 1, 238705, 0.0, , 
06:56:42, position 1, 640208, 0.0, , 
06:56:47, position 1, 13966, 0.0, , 
06:56:52, position 1, 26799, 0.0, , 
06:56:57, position 1, -18844, 0.0, , 
06:57:02, position 1, 238705, 0.0, , 
06:57:07, position 1, 640208, 0.0, , 
06:57:12, position 1, 13966, 0.0, , 
06:57:17, position 1, 26799, 0.0, , 
06:57:22, position 1, -18844, 0.0, , 
06:57:27, position 1, 238705, 0.0, , 
06:57:32, position 1, 640208, 0.0, , 
06:57:37, position 1, 13966, 0.0, , 
06:57:42, position 1, 26799, 0.0, , 
06:57:47, position 1, -18844, 0.0, , 
06:57:52, position 1, 238705, 0.0, , 
06:57:57, position 1, 640208, 0.0, , 
06:58:02, position 1, 13966, 0.0, , 
06:58:07, position 1, 26799, 0.0, , 
06:58:12, position 1, -18844, 0.0, , 
06:58:17, position 1, 238705, 0.0, , 
06:58:22, position 1, 640208, 0.0, , 
06:58:27, position 1, 13966, 0.0, , 
06:58:32, position 1, 26799, 0.0, , 
06:58:37, position 1, -18844, 0.0, , 
06:58:42, position 1, 238705, 0.0, , 
06:58:47, position 1, 640208, 0.0, , 
06:58:52, position 1, 13966, 0.0, , 
06:58:57, position 1, 26799, 0.0, , 
06:59:02, position 1, -18844, 0.0, , 
06:59:07, position 1, 238705, 0.0, , 
06:59:12, position 1, 640208, 0.0, , 
06:59:17, position 1, 13966, 0.0, , 
06:59:22, position 1, 26799, 0.0, , 
06:59:27, position 1, -18844, 0.0, , 
06:59:32, position 1, 238705, 0.0, , 
06:59:37, position 1, 640208, 0.0, , 
06:59:42, position 1, 13966, 0.0, , 
06:59:47, position 1, 26799, 0.0, , 
06:59:52, position 1, -18844, 0.0, , 
06:59:57, position 1, 238705, 0.0, , 
07:00:02, position 1, 640208, 0.0, , 
07:00:07, position 1, 13966, 0.0, , 
07:00:12, position 1, 26799, 0.0, , 
07:00:17, position 1, -18844, 0.0, , 
07:00:22, position 1, 238705, 0.0, , 
07:00:27, position 1, 640208, 0.0, , 
07:00:32, position 1, 13966, 0.0, , 
07:00:37, position 1, 26799, 0.0, , 
07:00:42, position 1, -18844, 0.0, , 
07:00:47, position 1, 238705, 0.0, , 
07:00:52, position 1, 640208, 0.0, , 
07:00:57, position 1, 13966, 0.0, , 
07:01:02, position 1, 26799, 0.0, , 
07:01:07, position 1, -18844, 0.0, , 
07:01:12, position 1, 238705, 0.0, , 
07:01:17, position 1, 640208, 0.0, , 
07:01:22, position 1, 13966, 0.0, , 
07:01:27, position 1, 26799, 0.0, , 
07:01:32, position 1, -18844, 0.0, , 
07:01:37, position 1, 238705, 0.0, , 
07:01:42, position 1, 640208, 0.0, , 
07:01:47, position 1, 13966, 0.0, , 
07:01:52, position 1, 26799, 0.0, , 
07:01:57, position 1, -18844, 0.0, , 
07:02:02, position 1, 238705, 0.0, , 
07:02:07, position 1, 640208, 0.0, , 
07:02:12, position 1, 13966, 0.0, , 
07:02:17, position 1, 26799, 0.0, , 
07:02:22, position 1, -18844, 0.0, , 
07:02:27, position 1, 238705, 0.0, , 
07:02:32, position 1, 640208, 0.0, , 
07:02:37, position 1, 13966, 0.0, , 
07:02:42, position 1, 26799, 0.0, , 
07:02:47, position 1, -18844, 0.0, , 
07:02:52, position 1, 238705, 0.0, , 
07:02:57, position 1, 640208, 0.0, , 
07:03:02, position 1, 13966, 0.0, , 
07:03:07, position 1, 26799, 0.0, , 
07:03:12, position 1, -18844, 0.0, , 
07:03:17, position 1, 238705, 0.0, , 
07:03:22, position 1, 640208, 0.0, , 
07:03:27, position 1, 13966, 0.0, , 
07:03:32, position 1, 26799, 0.0, , 
07:03:37, position 1, -18844, 0.0, , 
07:03:42, position 1, 238705, 0.0, , 
07:03:47, position 1, 640208, 0.0, , 
07:03:52, position 1, 13966, 0.0, , 
07:03:57, position 1, 26799, 0.0, , 
07:04:02, position 1, -18844, 0.0, , 
07:04:07, position 1, 238705, 0.0, , 
07:04:12, position 1, 640208, 0.0, , 
07:04:17, position 1, 13966, 0.0, , 
07:04:22, position 1, 26799, 0.0, , 
07:04:27, position 1, -18844, 0.0, , 
07:04:32, position 1, 238705, 0.0, , 
07:04:37, position 1, 640208, 0.0, , 
07:04:42, position 1, 13966, 0.0, , 
07:04:47, position 1, 26799, 0.0, , 
07:04:52, position 1, -18844, 0.0, , 
07:04:57, position 1, 238705, 0.0, , 
07:05:02, position 1, 640208, 0.0, , 
07:05:07, position 1, 13966, 0.0, , 
07:05:12, position 1, 26799, 0.0, , 
07:05:17, position 1, -18844, 0.0, , 
07:05:22, position 1, 238705, 0.0, , 
07:05:27, position 1, 640208, 0.0, , 
07:05:32, position 1, 13966, 0.0, , 
07:05:37, position 1, 26799, 0.0, , 
07:05:42, position 1, -18844, 0.0, , 
07:05:47, position 1, 238705, 0.0, , 
07:05:52, position 1, 640208, 0.0, , 
07:05:57, position 1, 13966, 0.0, , 
07:06:02, position 1, 26799, 0.0, , 
07:06:07, position 1, -18844, 0.0, , 
07:06:12, position 1, 238705, 0.0, , 
07:06:17, position 1, 640208, 0.0, , 
07:06:22, position 1, 13966, 0.0, , 
07:06:27, position 1, 26799, 0.0, , 
07:06:32, position 1, -18844, 0.0, , 
07:06:37, position 1, 238705, 0.0, , 
07:06:42, position 1, 640208, 0.0, , 
07:06:47, position 1, 13966, 0.0, , 
07:06:52, position 1, 26799, 0.0, , 
07:06:57, position 1, -18844, 0.0, , 
07:07:02, position 1, 238705, 0.0, , 
07:07:07, position 1, 640208, 0.0, , 
07:07:12, position 1, 13966, 0.0, , 
07:07:17, position 1, 26799, 0.0, , 
07:07:22, position 1, -18844, 0.0, , 
07:07:27, position 1, 238705, 0.0, , 
07:07:32, position 1, 640208, 0.0, , 
07:07:37, position 1, 13966, 0.0, , 
07:07:42, position 1, 26799, 0.0, , 
07:07:47, position 1, -18844, 0.0, , 
07:07:52, position 1, 238705, 0.0, , 
07:07:57, position 1, 640208, 0.0, , 
07:08:02, position 1, 13966, 0.0, , 
07:08:07, position 1, 26799, 0.0, , 
07:08:12, position 1, -18844, 0.0, , 
07:08:17, position 1, 238705, 0.0, , 
07:08:22, position 1, 640208, 0.0, , 
07:08:27, position 1, 13966, 0.0, , 
07:08:32, position 1, 26799, 0.0, , 
07:08:37, position 1, -18844, 0.0, , 
07:08:42, position 1, 238705, 0.0, , 
07:08:47, position 1, 640208, 0.0, , 
07:08:52, position 1, 13966, 0.0, , 
07:08:57, position 1, 26799, 0.0, , 
07:09:02, position 1, -18844, 0.0, , 
07:09:07, position 1, 238705, 0.0, , 
07:09:12, position 1, 640208, 0.0, , 
07:09:17, position 1, 13966, 0.0, , 
07:09:22, position 1, 26799, 0.0, , 
07:09:27, position 1, -18844, 0.0, , 
07:09:32, position 1, 238705, 0.0, , 
07:09:37, position 1, 640208, 0.0, , 
07:09:42, position 1, 13966, 0.0, , 
07:09:47, position 1, 26799, 0.0, , 
07:09:52, position 1, -18844, 0.0, , 
07:09:57, position 1, 238705, 0.0, , 
07:10:02, position 1, 640208, 0.0, , 
07:10:07, position 1, 13966, 0.0, , 
07:10:12, position 1, 26799, 0.0, , 
07:10:17, position 1, -18844, 0.0, , 
07:10:22, position 1, 238705, 0.0, , 
07:10:27, position 1, 640208, 0.0, , 
07:10:32, position 1, 13966, 0.0, , 
07:10:37, position 1, 26799, 0.0, , 
07:10:42, position 1, -18844, 0.0, , 
07:10:47, position 1, 238705, 0.0, , 
07:10:52, position 1, 640208, 0.0, , 
07:10:57, position 1, 13966, 0.0, , 
07:11:02, position 1, 26799, 0.0, , 
07:11:07, position 1, -18844, 0.0, , 
07:11:12, position 1, 238705, 0.0, , 
07:11:17, position 1, 640208, 0.0, , 
07:11:22, position 1, 13966, 0.0, , 
07:11:27, position 1, 26799, 0.0, , 
07:11:32, position 1, -18844, 0.0, , 
07:11:37, position 1, 238705, 0.0, , 
07:11:42, position 1, 640208, 0.0, , 
07:11:47, position 1, 13966, 0.0, , 
07:11:52, position 1, 26799, 0.0, , 
07:11:57, position 1, -18844, 0.0, , 
07:12:02, position 1, 238705, 0.0, , 
07:12:07, position 1, 640208, 0.0, , 
07:12:12, position 1, 13966, 0.0, , 
07:12:17, position 1, 26799, 0.0, , 
07:12:22, position 1, -18844, 0.0, , 
07:12:27, position 1, 238705, 0.0, , 
07:12:32, position 1, 640208, 0.0, , 
07:12:37, position 1, 13966, 0.0, , 
07:12:42, position 1, 26799, 0.0, , 
07:12:47, position 1, -18844, 0.0, , 
07:12:52, position 1, 238705, 0.0, , 
07:12:57, position 1, 640208, 0.0, , 
07:13:02, position 1, 13966, 0.0, , 
07:13:07, position 1, 26799, 0.0, , 
07:13:12, position 1, -18844, 0.0, , 
07:13:17, position 1, 238705, 0.0, , 
07:13:22, position 1, 640208, 0.0, , 
07:13:27, position 1, 13966, 0.0, , 
07:13:32, position 1, 26799, 0.0, , 
07:13:37, position 1, -18844, 0.0, , 
07:13:42, position 1, 238705, 0.0, , 
07:13:47, position 1, 640208, 0.0, , 
07:13:52, position 1, 13966, 0.0, , 
07:13:57, position 1, 26799, 0.0, , 
07:14:02, position 1, -18844, 0.0, , 
07:14:07, position 1, 238705, 0.0, , 
07:14:12, position 1, 640208, 0.0, , 
07:14:17, position 1, 13966, 0.0, , 
07:14:22, position 1, 26799, 0.0, , 
07:14:27, position 1, -18844, 0.0, , 
07:14:32, position 1, 238705, 0.0, , 
07:14:37, position 1, 640208, 0.0, , 
07:14:42, position 1, 13966, 0.0, , 
07:14:47, position 1, 26799, 0.0, , 
07:14:52, position 1, -18844, 0.0, , 
07:14:57, position 1, 238705, 0.0, , 
07:15:02, position 1, 640208, 0.0, , 
07:15:07, position 1, 13966, 0.0, , 
07:15:12, position 1, 26799, 0.0, , 
07:15:17, position 1, -18844, 0.0, , 
07:15:22, position 1, 238705, 0.0, , 
07:15:27, position 1, 640208, 0.0, , 
07:15:32, position 1, 13966, 0.0, , 
07:15:37, position 1, 26799, 0.0, , 
07:15:42, position 1, -18844, 0.0, , 
07:15:47, position 1, 238705, 0.0, , 
07:15:52, position 1, 640208, 0.0, , 
07:15:57, position 1, 13966, 0.0, , 
07:16:02, position 1, 26799, 0.0, , 
07:16:07, position 1, -18844, 0.0, , 
07:16:12, position 1, 238705, 0.0, , 
07:16:17, position 1, 640208, 0.0, , 
07:16:22, position 1, 13966, 0.0, , 
07:16:27, position 1, 26799, 0.0, , 
07:16:32, position 1, -18844, 0.0, , 
07:16:37, position 1, 238705, 0.0, , 
07:16:42, position 1, 640208, 0.0, , 
07:16:47, position 1, 13966, 0.0, , 
07:16:52, position 1, 26799, 0.0, , 
07:16:57, position 1, -18844, 0.0, , 
07:17:02, position 1, 238705, 0.0, , 
07:17:07, position 1, 640208, 0.0, , 
07:17:12, position 1, 13966, 0.0, , 
07:17:17, position 1, 26799, 0.0, , 
07:17:22, position 1, -18844, 0.0, , 
07:17:27, position 1, 238705, 0.0, , 
07:17:32, position 1, 640208, 0.0, , 
07:17:37, position 1, 13966, 0.0, , 
07:17:42, position 1, 26799, 0.0, , 
07:17:47, position 1, -18844, 0.0, , 
07:17:52, position 1, 238705, 0.0, , 
07:17:57, position 1, 640208, 0.0, , 
07:18:02, position 1, 13966, 0.0, , 
07:18:07, position 1, 26799, 0.0, , 
07:18:12, position 1, -18844, 0.0, , 
07:18:17, position 1, 238705, 0.0, , 
07:18:22, position 1, 640208, 0.0, , 
07:18:27, position 1, 13966, 0.0, , 
07:18:32, position 1, 26799, 0.0, , 
07:18:37, position 1, -18844, 0.0, , 
07:18:42, position 1, 238705, 0.0, , 
07:18:47, position 1, 640208, 0.0, , 
07:18:52, position 1, 13966, 0.0, , 
07:18:57, position 1, 26799, 0.0, , 
07:19:02, position 1, -18844, 0.0, , 
07:19:07, position 1, 238705, 0.0, , 
07:19:12, position 1, 640208, 0.0, , 
07:19:17, position 1, 13966, 0.0, , 
07:19:22, position 1, 26799, 0.0, , 
07:19:27, position 1, -18844, 0.0, , 
07:19:32, position 1, 238705, 0.0, , 
07:19:37, position 1, 640208, 0.0, , 
07:19:42, position 1, 13966, 0.0, , 
07:19:47, position 1, 26799, 0.0, , 
07:19:52, position 1, -18844, 0.0, , 
07:19:57, position 1, 238705, 0.0, , 
07:20:02, position 1, 640208, 0.0, , 
07:20:07, position 1, 13966, 0.0, , 
07:20:12, position 1, 26799, 0.0, , 
07:20:17, position 1, -18844, 0.0, , 
07:20:22, position 1, 238705, 0.0, , 
07:20:27, position 1, 640208, 0.0, , 
07:20:32, position 1, 13966, 0.0, , 
07:20:37, position 1, 26799, 0.0, , 
07:20:42, position 1, -18844, 0.0, , 
07:20:47, position 1, 238705, 0.0, , 
07:20:52, position 1, 640208, 0.0, , 
07:20:57, position 1, 13966, 0.0, , 
07:21:02, position 1, 26799, 0.0, , 
07:21:07, position 1, -18844, 0.0, , 
07:21:12, position 1, 238705, 0.0, , 
07:21:17, position 1, 640208, 0.0, , 
07:21:22, position 1, 13966, 0.0, , 
07:21:27, position 1, 26799, 0.0, , 
07:21:32, position 1, -18844, 0.0, , 
07:21:37, position 1, 238705, 0.0, , 
07:21:42, position 1, 640208, 0.0, , 
07:21:47, position 1, 13966, 0.0, , 
07:21:52, position 1, 26799, 0.0, , 
07:21:57, position 1, -18844, 0.0, , 
07:22:02, position 1, 238705, 0.0, , 
07:22:07, position 1, 640208, 0.0, , 
07:22:12, position 1, 13966, 0.0, , 
07:22:17, position 1, 26799, 0.0, , 
07:22:22, position 1, -18844, 0.0, , 
07:22:27, position 1, 238705, 0.0, , 
07:22:32, position 1, 640208, 0.0, , 
07:22:37, position 1, 13966, 0.0, , 
07:22:42, position 1, 26799, 0.0, , 
07:22:47, position 1, -18844, 0.0, , 
07:22:52, position 1, 238705, 0.0, , 
07:22:57, position 1, 640208, 0.0, , 
07:23:02, position 1, 13966, 0.0, , 
07:23:07, position 1, 26799, 0.0, , 
07:23:12, position 1, -18844, 0.0, , 
07:23:17, position 1, 238705, 0.0, , 
07:23:22, position 1, 640208, 0.0, , 
07:23:27, position 1, 13966, 0.0, , 
07:23:32, position 1, 26799, 0.0, , 
07:23:37, position 1, -18844, 0.0, , 
07:23:42, position 1, 238705, 0.0, , 
07:23:47, position 1, 640208, 0.0, , 
07:23:52, position 1, 13966, 0.0, , 
07:23:57, position 1, 26799, 0.0, , 
07:24:02, position 1, -18844, 0.0, , 
07:24:07, position 1, 238705, 0.0, , 
07:24:12, position 1, 640208, 0.0, , 
07:24:17, position 1, 13966, 0.0, , 
07:24:22, position 1, 26799, 0.0, , 
07:24:27, position 1, -18844, 0.0, , 
07:24:32, position 1, 238705, 0.0, , 
07:24:37, position 1, 640208, 0.0, , 
07:24:42, position 1, 13966, 0.0, , 
07:24:47, position 1, 26799, 0.0, , 
07:24:52, position 1, -18844, 0.0, , 
07:24:57, position 1, 238705, 0.0, , 
07:25:02, position 1, 640208, 0.0, , 
07:25:07, position 1, 13966, 0.0, , 
07:25:12, position 1, 26799, 0.0, , 
07:25:17, position 1, -18844, 0.0, , 
07:25:22, position 1, 238705, 0.0, , 
07:25:27, position 1, 640208, 0.0, , 
07:25:32, position 1, 13966, 0.0, , 
07:25:37, position 1, 26799, 0.0, , 
07:25:42, position 1, -18844, 0.0, , 
07:25:47, position 1, 238705, 0.0, , 
07:25:52, position 1, 640208, 0.0, , 
07:25:57, position 1, 13966, 0.0, , 
07:26:02, position 1, 26799, 0.0, , 
07:26:07, position 1, -18844, 0.0, , 
07:26:12, position 1, 238705, 0.0, , 
07:26:17, position 1, 640208, 0.0, , 
07:26:22, position 1, 13966, 0.0, , 
07:26:27, position 1, 26799, 0.0, , 
07:26:32, position 1, -18844, 0.0, , 
07:26:37, position 1, 238705, 0.0, , 
07:26:42, position 1, 640208, 0.0, , 
07:26:47, position 1, 13966, 0.0, , 
07:26:52, position 1, 26799, 0.0, , 
07:26:57, position 1, -18844, 0.0, , 
07:27:02, position 1, 238705, 0.0, , 
07:27:07, position 1, 640208, 0.0, , 
07:27:12, position 1, 13966, 0.0, , 
07:27:17, position 1, 26799, 0.0, , 
07:27:22, position 1, -18844, 0.0, , 
07:27:27, position 1, 238705, 0.0, , 
07:27:32, position 1, 640208, 0.0, , 
07:27:37, position 1, 13966, 0.0, , 
07:27:42, position 1, 26799, 0.0, , 
07:27:47, position 1, -18844, 0.0, , 
07:27:52, position 1, 238705, 0.0, , 
07:27:57, position 1, 640208, 0.0, , 
07:28:02, position 1, 13966, 0.0, , 
07:28:07, position 1, 26799, 0.0, , 
07:28:12, position 1, -18844, 0.0, , 
07:28:17, position 1, 238705, 0.0, , 
07:28:22, position 1, 640208, 0.0, , 
07:28:27, position 1, 13966, 0.0, , 
07:28:32, position 1, 26799, 0.0, , 
07:28:37, position 1, -18844, 0.0, , 
07:28:42, position 1, 238705, 0.0, , 
07:28:47, position 1, 640208, 0.0, , 
07:28:52, position 1, 13966, 0.0, , 
07:28:57, position 1, 26799, 0.0, , 
07:29:02, position 1, -18844, 0.0, , 
07:29:07, position 1, 238705, 0.0, , 
07:29:12, position 1, 640208, 0.0, , 
07:29:17, position 1, 13966, 0.0, , 
07:29:22, position 1, 26799, 0.0, , 
07:29:27, position 1, -18844, 0.0, , 
07:29:32, position 1, 238705, 0.0, , 
07:29:37, position 1, 640208, 0.0, , 
07:29:42, position 1, 13966, 0.0, , 
07:29:47, position 1, 26799, 0.0, , 
07:29:52, position 1, -18844, 0.0, , 
07:29:57, position 1, 238705, 0.0, , 
07:30:02, position 1, 640208, 0.0, , 
07:30:07, position 1, 13966, 0.0, , 
07:30:12, position 1, 26799, 0.0, , 
07:30:17, position 1, -18844, 0.0, , 
07:30:22, position 1, 238705, 0.0, , 
07:30:27, position 1, 640208, 0.0, , 
07:30:32, position 1, 13966, 0.0, , 
07:30:37, position 1, 26799, 0.0, , 
07:30:42, position 1, -18844, 0.0, , 
07:30:47, position 1, 238705, 0.0, , 
07:30:52, position 1, 640208, 0.0, , 
07:30:57, position 1, 13966, 0.0, , 
07:31:02, position 1, 26799, 0.0, , 
07:31:07, position 1, -18844, 0.0, , 
07:31:12, position 1, 238705, 0.0, , 
07:31:17, position 1, 640208, 0.0, , 
07:31:22, position 1, 13966, 0.0, , 
07:31:27, position 1, 26799, 0.0, , 
07:31:32, position 1, -18844, 0.0, , 
07:31:37, position 1, 238705, 0.0, , 
07:31:42, position 1, 640208, 0.0, , 
07:31:47, position 1, 13966, 0.0, , 
07:31:52, position 1, 26799, 0.0, , 
07:31:57, position 1, -18844, 0.0, , 
07:32:02, position 1, 238705, 0.0, , 
07:32:07, position 1, 640208, 0.0, , 
07:32:12, position 1, 13966, 0.0, , 
